2020-05-04 01:06:01.074 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:06:01.094 (+02:00) | INFO  | Lorem ipsum dolor sit amet.
2020-05-04 01:06:01.104 (+02:00) | WARN  | Lorem ipsum dolor sit amet.
2020-05-04 01:06:01.125 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:06:01.135 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:06:03.244 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:06:03.260 (+02:00) | INFO  | Lorem ipsum dolor sit amet.
2020-05-04 01:06:03.273 (+02:00) | WARN  | Lorem ipsum dolor sit amet.
2020-05-04 01:06:03.288 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:06:03.304 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:07:43.348 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:07:43.388 (+02:00) | INFO  | @{Version=7.0.0}
2020-05-04 01:07:43.406 (+02:00) | WARN  | System.Management.Automation.PSVersionHashTable
2020-05-04 01:07:43.422 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:07:43.442 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:08:25.017 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:08:25.037 (+02:00) | INFO  | @{Version=7.0.0}
2020-05-04 01:08:25.057 (+02:00) | WARN  | 7.0.0
2020-05-04 01:08:25.072 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:08:25.086 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:08:51.736 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:08:52.017 (+02:00) | WARN  | 7.0.0
2020-05-04 01:08:52.033 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:08:52.047 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:09:09.668 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:09:09.685 (+02:00) | INFO  | PowerShell version7.0.0
2020-05-04 01:09:09.698 (+02:00) | WARN  | 7.0.0
2020-05-04 01:09:09.712 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:09:09.725 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:10:49.238 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:10:49.255 (+02:00) | INFO  | PowerShell version 7.0.0
2020-05-04 01:10:49.282 (+02:00) | WARN  | D:\OneDrive\_Documentos JLF\GitHub\PowerShell\xLog\Straight
2020-05-04 01:10:49.307 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:10:49.327 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:11:15.888 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:11:15.921 (+02:00) | INFO  | PowerShell version 7.0.0
2020-05-04 01:11:16.086 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:11:16.108 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:11:30.155 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:11:30.173 (+02:00) | INFO  | PowerShell version 7.0.0
2020-05-04 01:11:30.256 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:11:30.273 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
2020-05-04 01:11:32.620 (+02:00) | DEBUG | Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nisi arcu, commodo et ante id, tempus rutrum diam. Fusce fermentum aliquet metus ut posuere. Etiam at libero augue. Praesent at enim fermentum, porta nulla quis, elementum leo. Nulla fermentum diam a neque posuere ultricies. Praesent sem lorem, aliquam et purus.
2020-05-04 01:11:32.717 (+02:00) | INFO  | PowerShell version 7.0.0
2020-05-04 01:11:32.818 (+02:00) | WARN  | Current path: D:\OneDrive\_Documentos JLF\GitHub\PowerShell\xLog\Straight
2020-05-04 01:11:32.863 (+02:00) | ERROR | Lorem ipsum dolor sit amet.
2020-05-04 01:11:32.889 (+02:00) | FATAL | Lorem ipsum dolor sit amet.
